RecordID,ReportedModel,ModelVariantName,DateSet,SpeedKph,Sponsor,Description
984,747,77,1988-06-16,,,"Speed: 825.88 kmh, 513.18 mph, 445.94 kts "
985,A330-300,A330-300,2003-10-16,,,"Speed: 784.07 kmh, 487.2 mph, 423.36 kts "
986,767-300,767-300,1991-09-12,,,"Speed: 830.88 kmh, 516.28 mph, 448.64 kts "
987,A300,A300,1989-02-17,,,"Speed: 830.16 kmh, 515.84 mph, 448.25 kts "
988,757,77,1995-01-14,,,"Speed: 821.14 kmh, 510.23 mph, 443.38 kts "
989,767-300ER,767-300ER,1993-09-30,,,"Speed: 790.04306304 kmh, 490.91 mph, 426.59 kts "
990,MD-83,MD-80,1997-11-06,,,"Speed: 743.19 kmh, 461.8 mph, 401.29 kts "
991,737-300,737-300,1993-01-17,,,"Speed: 820.00904832 kmh, 509.53 mph, 442.77 kts "
992,757,77,1994-10-06,,,"Speed: 732.18 kmh, 454.96 mph, 395.35 kts "
993,Constellation,,1954-10-23,,,"Speed: 489.14 kmh, 303.94 mph, 264.11 kts "
994,727-100,727-100,1987-03-01,,,"Speed: 778.58 kmh, 483.79 mph, 420.4 kts "
995,727-100,727-100,1987-03-03,,,"Speed: 721.8 kmh, 448.51 mph, 389.74 kts "
996,747-100,747-100,1995-11-11,,,"Speed: 973.99108224 kmh, 605.21 mph, 525.91 kts "
997,747-100,747-100,1995-04-26,,,"Speed: 958.74 kmh, 595.73 mph, 517.68 kts "
998,747-400,747-400,1996-10-19,,,"Speed: 982.67 kmh, 610.6 mph, 530.6 kts "
999,747-400,747-400,1995-01-29,,,"Speed: 1086.52 kmh, 675.13 mph, 586.67 kts "
1000,747-400,747-400,2001-07-11,,,"Speed: 841.87 kmh, 523.11 mph, 454.57 kts "
1001,747-400,747-400,1997-02-18,,,"Speed: 1064.65 kmh, 661.54 mph, 574.87 kts "
1002,747-400,747-400,2001-03-09,,,"Speed: 793.15 kmh, 492.84 mph, 428.27 kts "
1003,747-100,747-100,1993-01-16,,,"Speed: 995.64 kmh, 618.66 mph, 537.6 kts "
1004,747-100,747-100,1989-11-06,,,"Speed: 943.99 kmh, 586.57 mph, 509.71 kts "
1005,DC-10-30,DC-10-30,1998-02-02,,,"Speed: 1049.11 kmh, 651.89 mph, 566.47 kts "
1006,DC-10-10H,DC-10-10,1989-04-13,,,"Speed: 897.48 kmh, 557.67 mph, 484.6 kts "
1007,727,727,1983-12-27,,,"Speed: 822.6 kmh, 511.14 mph, 444.17 kts "
1008,737-200,737-200,1996-01-24,,,"Speed: 673.36 kmh, 418.41 mph, 363.59 kts "
