ModelName,Thrust,CylinderCount,CylinderConfig,PropSize
IO-550 SERIES,0,,,
TSIO-550 SER,0,,,
IO-470 SER,0,,,
IO-360,0,,,
TSIO-470 SER,0,,,
GTSIO-520-H,0,,,
TP500,0,,,
IO-540 SER,0,,,
TSIO 520 SER,0,,,
TSIO-520-UB,0,,,
GIO-244,0,,,
IO-240 SER,0,,,
TSIO-360 GB,0,,,
O 470R,0,,,
C75-8,0,,,
6-320-B,0,,,
6-620-A,0,,,
GIO-470-A,0,,,
T6-320-A,0,,,
A75-3,0,,,
A75-6,0,,,
A75-8,0,,,
A75-9,0,,,
C-115-1,0,,,
C-115-2,0,,,
C-125-1,0,,,
C-125-2,0,,,
A-100-1,0,,,
A-100-2,0,,,
A-50-1,0,,,
A-50-2,0,,,
A-50-3,0,,,
A-50-4,0,,,
A-50-5,0,,,
A-50-6,0,,,
A-50-7,0,,,
A-50-8,0,,,
A-50-9,0,,,
GTSIO-520-D,0,,,
GTSIO-520-E,0,,,
GTSIO-520-F,0,,,
GTSIO-520-K,0,,,
GTSIO-520-L,0,,,
GTSIO-520-M,0,,,
GTSIO-520-N,0,,,
C75-8F,0,,,
C75-8FH,0,,,
C75-8FHJ,0,,,
C75-8FJ,0,,,
C75-8J,0,,,
C75-12,0,,,
C75-12F,0,,,
C75-12FH,0,,,
C75-12FHJ,0,,,
C75-12FJ,0,,,
C75-12J,0,,,
C75-12B,0,,,
C75-12BF,0,,,
C75-12BFH,0,,,
C75-15,0,,,
C75-15F,0,,,
C85-8,0,,,
C85-8F,0,,,
C85-8FHJ,0,,,
C85-8FJ,0,,,
C85-8J,0,,,
C85-12,0,,,
C85-12F,0,,,
C85-12FH,0,,,
C85-12FHJ,0,,,
C85-12FJ,0,,,
C85-12J,0,,,
C85-14F,0,,,
C85-15,0,,,
C85-15F,0,,,
A-50-4J,0,,,
A-50-5J,0,,,
A-50-6J,0,,,
A-50-7J,0,,,
A-50-8J,0,,,
A-50-9J,0,,,
A75-6J,0,,,
A75-8F,0,,,
A75-8J,0,,,
A75-8FJ,0,,,
A75-9J,0,,,
IO-360-A,0,,,
IO-360-AB,0,,,
IO-360-B,0,,,
IO-360-C,0,,,
IO-360-CB,0,,,
IO-360-D,0,,,
IO-360-DB,0,,,
IO-360-E,0,,,
IO-360-G,0,,,
IO-360-GB,0,,,
IO-360-H,0,,,
IO-360-HB,0,,,
IO-360-J,0,,,
IO-360-JB,0,,,
IO-360-K,0,,,
IO-360-KB,0,,,
IO-360-ES,0,,,
E225-2,0,,,
E225-4,0,,,
E225-8,0,,,
E225-9,0,,,
TP500E,0,,,
IO-240-A,0,,,
FSO-470-A,0,,,
IOF-240-B,0,,,
O-470-2,0,,,
C145-2,0,,,
C145-2H,0,,,
C145-2HP,0,,,
0-300-A,0,,,
0-300-B,0,,,
0-300-C,0,,,
0-300-D,0,,,
IO-240-B,0,,,
0-300-E,0,,,
FSO-526-A,0,,,
FSO-526-C,0,,,
C90-8F,0,,,
C90-8FJ,0,,,
C90-12F,0,,,
C90-12FH,0,,,
C90-12FJ,0,,,
C90-12FP,0,,,
C90-14F,0,,,
C90-14FH,0,,,
C90-14FJ,0,,,
C90-16F,0,,,
0-200-A,0,,,
O-200-B,0,,,
0-200-C,0,,,
TSIO-470-C,0,,,
TSIO-470-D,0,,,
IO-346-A,0,,,
IO-346-B,0,,,
GO-300-A,0,,,
GO-300-B,0,,,
GO-300-C,0,,,
GO-300-F,0,,,
GO-300-D,0,,,
GO-300-E,0,,,
GSO-526-A,0,,,
TSIOL-550-A,0,,,
TSIOL-550-B,0,,,
IO-550-A,0,,,
IO-550-B,0,,,
IO-550-C,0,,,
IO-550-D,0,,,
IO-550-F,0,,,
IO-550-L,0,,,
IO-550-G,0,,,
IO-550-E,0,,,
IO-550-N,0,,,
IO-550-P,0,,,
IO-550-R,0,,,
IOF-550-B,0,,,
IOF-550-C,0,,,
IOF-550-D,0,,,
IOF-550-F,0,,,
IOF-550-L,0,,,
IOF-550-E,0,,,
IOF-550-N,0,,,
IOF-550-P,0,,,
IOF-550-R,0,,,
IO-520-A,0,,,
IO-520-J,0,,,
IO-520-B,0,,,
IO-520-BA,0,,,
IO-520-BB,0,,,
IO-520-C,0,,,
IO-520-M,0,,,
IO-520-CB,0,,,
IO-520-MB,0,,,
IO-520-D,0,,,
IO-520-F,0,,,
IO-520-K,0,,,
IO-520-L,0,,,
IO-520-E,0,,,
IO-520-N,0,,,
IO-520-NB,0,,,
L/IO-520-P,0,,,
TSIO-550-A,0,,,
TSIO-550-B,0,,,
TSIO-550-C,0,,,
TSIO-550-E,0,,,
TSIO-520-A,0,,,
TSIO-520-B,0,,,
TSIO-520-BB,0,,,
TSIO-520-C,0,,,
TSIO-520-H,0,,,
TSIO-520-D,0,,,
TSIO-520-DB,0,,,
TSIO-520-E,0,,,
TSIO-520-EB,0,,,
TSIO-520-G,0,,,
TSIO-520-J,0,,,
TSIO-520-JB,0,,,
TSIO-520-K,0,,,
TSIO-520-KB,0,,,
TSIO-520-L,0,,,
TSIO-520-LB,0,,,
TSIO-520-N,0,,,
TSIO-520-NB,0,,,
TSIO-520-M,0,,,
TSIO-520-R,0,,,
TSIO-520-P,0,,,
TSIO-520-T,0,,,
TSIO-520-U,0,,,
TSIO-520-VB,0,,,
TSIO-520-WB,0,,,
TSIO-520-AE,0,,,
LTSIO-520-AE,0,,,
TSIO-520-AF,0,,,
TSIO-520-BE,0,,,
TSIO-520-CE,0,,,
TSIO-360-A,0,,,
TSIO-360-AB,0,,,
TSIO-360-B,0,,,
TSIO-360-BB,0,,,
TSIO-360-C,0,,,
TSIO-360-CB,0,,,
TSIO-360-D,0,,,
TSIO-360-DB,0,,,
TSIO-360-E,0,,,
TSIO-360-EB,0,,,
LTSIO-360-E,0,,,
LTSIO-360-EB,0,,,
TSIO-360-F,0,,,
TSIO-360-FB,0,,,
TSIO-360-GB,0,,,
TSIO-360-H,0,,,
TSIO-360-HB,0,,,
TSIO-360-JB,0,,,
TSIO-360-KB,0,,,
LTSIO-360-KB,0,,,
TSIO-360-LB,0,,,
TSIO-360-MB,0,,,
TSIO-360-NB,0,,,
TSIO-360-PB,0,,,
TSIO-360-RB,0,,,
LTSIO-360-RB,0,,,
TSIO-360-SB,0,,,
E165-2,0,,,
E165-3,0,,,
E165-4,0,,,
E185-1,0,,,
E185-8,0,,,
E-185-11,0,,,
E185-2,0,,,
E185-3,0,,,
E185-9,0,,,
E185-10,0,,,
E185-5,0,,,
W670-6A,0,,,
W670-6N,0,,,
W670-16,0,,,
W670-K,0,,,
W670-M,0,,,
W670-23,0,,,
W670-24,0,,,
A-65 SER,0,,,
A-65-3,0,,,
A-65-6,0,,,
