recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
9267,Navajo,,,1985-05-08,,,,,
9268,Baron B55,,,1971-08-08,,,,,
9269,T210 Centurion,,,1980-11-26,,,,,
9270,PA-34-200 Seneca,,,1983-10-13,,,,,
9271,Baron B55,,,1971-08-09,,,,,
9272,Navajo,,,1985-05-08,,,,,
9273,Navajo,,,1985-05-08,,,,,
9274,Navajo,,,1985-05-08,,,,,
9275,Navajo,,,1985-05-08,,,,,
9276,Navajo,,,1985-05-08,,,,,
9277,T210 Centurion,,,1980-11-20,,,,,
9278,Baron B55,,,1971-08-10,,,,,
9279,PA-34-200 Seneca,,,1983-10-13,,,,,
9280,Aerostar 601P,,,1984-03-29,,,,,
9281,T210 Centurion,,,1980-11-21,,,,,
9282,T210 Centurion,,,1980-11-19,,,,,
9283,Navajo,,,1979-04-21,,,,,
9284,D.H. 90 Dragonfly,,,1964-08-05,,,,,
9285,Bonanza V35,,,1985-06-26,,,,,
9286,T210 Centurion,,,1980-01-22,,,,,
9287,60 Duke,,,1975-04-26,,,,,
9288,Travelair D95,,,1977-07-14,,,,,
9289,T210 Centurion,,,1980-11-24,,,,,
9290,Baron,,,1989-05-06,,,,,
9291,PA-30,PA-30,,1991-08-02,PIPER,5,,,
9292,PA-30,PA-30,,1991-08-02,PIPER,5,,,
9293,P210N,P210N,,1985-05-07,CESSNA,4,,,
9294,Baron 56TC,,,1990-03-12,,,,,
9295,Aerostar 601,,,1973-08-02,,,,,
9296,Malibu,,,1987-03-18,,,,,
9297,PA-30 Twin Comanche,,,1969-05-30,,,,,
9298,Aztec,,,1987-12-16,,,,,
9299,PA-23 Aztec,,,2001-03-17,,,,,
9300,PA-23 Aztec,,,2001-03-17,,,,,
9301,340,340,,1995-03-15,SABRE,7,,,
9302,340,340,,1997-06-06,SABRE,7,,,
9303,340,340,,1995-03-15,SABRE,7,,,
9304,340,340,,1998-05-24,SABRE,7,,,
9305,PA-32R-300 Lance,,,1986-06-27,,,,,
9306,PA-23 Aztec,,,1984-05-31,,,,,
9307,PA-60,P-60,,1992-06-28,BEST AVIATION SERVICES LLC,2,,,
9308,PA-32R-300 Lance,,,1986-06-16,,,,,
9309,Baron,,,1989-05-18,,,,,
9310,Seneca II,,,1986-01-22,,,,,
9311,Seneca II,,,1986-01-19,,,,,
9312,Malibu,,,1987-02-01,,,,,
9313,Malibu,,,1987-02-01,,,,,
9314,PA-32R-300 Lance,,,1985-06-20,,,,,
9315,Baron 58,,,1994-05-05,,,,,
9316,Malibu,,,1986-08-15,,,,,
9317,Malibu,,,1987-08-01,,,,,
9318,Aztec,,,1981-12-17,,,,,
9319,Aztec,,,1981-12-17,,,,,
9320,PA-23-250 Aztec,,,1983-12-18,,,,,
9321,Baron BE58,,,1995-05-08,,,,,
9322,Aerostar 601P,,,1981-11-29,,,,,
9323,Aztec,,,1985-03-02,,,,,
9324,PA-32R-300 Lance,,,1985-06-20,,,,,
9325,Baron B55,,,1993-12-16,,,,,
9326,PA-32R-300 Lance,,,1985-06-20,,,,,
