recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
9108,P210N,P210N,,1994-05-24,CESSNA,4,,,
9109,Baron 58,,,1994-05-24,,,,,
9110,310,310,,1992-07-14,SCHRECK FBA,4,,,
9111,PA-34-200T,PA-34-200T,,1997-12-18,PIPER,5,,,
9112,Aztec,,,1985-03-04,,,,,
9113,310,310,,1992-07-22,SCHRECK FBA,4,,,
9114,310,310,,1992-07-19,SCHRECK FBA,4,,,
9115,PA-32R-300 Lance,,,1986-07-05,,,,,
9116,PA-32R-300 Lance,,,1986-07-05,,,,,
9117,PA-31 Navajo Panther,,,1978-12-10,,,,,
9118,Baron B55,,,1994-07-28,,,,,
9119,Aerostar 601P,,,1991-05-18,,,,,
9120,Baron P58,,,1978-12-17,,,,,
9121,Malibu,,,1997-08-09,,,,,
9122,PA-46-310P Malibu,,,1989-01-08,,,,,
9123,310,310,,1992-06-14,SCHRECK FBA,4,,,
9124,PA-31-350,PA-31-350,,1997-04-11,PIPER,5,,,
9125,PA-34-200 Seneca II,,,1996-12-01,,,,,
9126,Eagle I,,,1980-04-17,,,,,
9127,Eagle I,,,1980-04-17,,,,,
9128,Eagle I,,,1979-06-04,,,,,
9129,210,210,,1977-05-20,BELL HELICOPTER TEXTRON INC,6,,,
9130,Navajo,,,1985-05-08,,,,,
9131,Navajo,,,1985-05-08,,,,,
9132,Navajo,,,1985-05-08,,,,,
9133,T210 Centurion,,,1980-11-21,,,,,
9134,P206,P206,,1968-06-25,CESSNA,4,,,
9135,P206,P206,,1985-06-25,CESSNA,4,,,
9136,PA-32R-300 Lance,,,1985-06-20,,,,,
9137,Malibu,,,1987-01-23,,,,,
9138,Lance,,,1985-05-31,,,,,
9139,PA-32R-300 Lance,,,1986-06-22,,,,,
9140,Baron B55,,,1971-08-06,,,,,
9141,Baron B55,,,1971-08-07,,,,,
9142,Baron B55,,,1971-08-06,,,,,
9143,Baron B55,,,1971-08-07,,,,,
9144,Aerostar 601P,,,1985-01-16,,,,,
9145,Baron 95-B55,,,2003-11-07,,,,,
9146,Baron 58P,,,1996-12-17,,,,,
9147,Seneca II,,,1985-12-20,,,,,
9148,PA-23 Aztec,,,2001-04-01,,,,,
9149,PA-23 Aztec,,,2001-03-31,,,,,
9150,Baron,,,1984-07-24,,,,,
9151,Malibu,,,1990-09-24,,,,,
9152,Aerostar 601B,,,1995-07-24,,,,,
9153,T337A,T33A,,1984-03-23,LOCKHEED/COLEMAN WARBIRD MUSEU,4,,,
9154,Aztec,,,1985-05-27,,,,,
9155,PA-46-310P Malibu,,,1989-01-04,,,,,
9156,Seneca II,,,1986-01-07,,,,,
9157,C340A,340A,,1997-09-17,CESSNA,5,,,
9158,Baron 58,,,1994-05-09,,,,,
9159,PA-32R-300 Lance,,,1986-06-30,,,,,
9160,PA-23 Aztec,,,1986-07-05,,,,,
9161,Malibu,,,1987-02-08,,,,,
9162,PA-34-200 Seneca,,,1983-10-13,,,,,
9163,T303 Crusader,,,1994-05-22,,,,,
9164,PA-32R-300 Lance,,,1985-06-20,,,,,
9165,PA-32R-300 Lance,,,1985-06-20,,,,,
9166,Seneca II,,,1986-01-29,,,,,
9167,PA-32R-300 Lance,,,1985-06-20,,,,,
9168,PA-32R-300 Lance,,,1985-06-20,,,,,
9169,Lance,,,1985-05-31,,,,,
9170,Lance,,,1985-05-31,,,,,
9171,310R,310R,,1992-11-15,CESSNA,5,,,
9172,Baron,,,1988-06-18,,,,,
9173,PA-46-310P Malibu,,,1994-07-28,,,,,
9174,Malibu,,,1987-06-21,,,,,
9175,Baron BE58,,,1995-04-07,,,,,
9176,Baron BE58,,,1994-06-14,,,,,
9177,Baron BE58,,,1995-10-27,,,,,
9178,Baron BE58,,,1995-04-30,,,,,
9179,Seneca II,,,1985-12-26,,,,,
9180,PA-23 Aztec,,,1986-06-27,,,,,
9181,340,340,,1986-07-11,SABRE,7,,,
9182,310,310,,1992-07-08,SCHRECK FBA,4,,,
9183,310,310,,1992-07-05,SCHRECK FBA,4,,,
9184,Baron BE58,,,1995-06-16,,,,,
9185,PA-32R-300 Lance,,,1985-05-31,,,,,
9186,PA-32R-300 Lance,,,1985-05-31,,,,,
9187,340,340,,1997-06-08,SABRE,7,,,
9188,Baron B55,,,1971-08-08,,,,,
9189,Baron B55,,,1971-08-09,,,,,
9190,PA-32R-300 Lance,,,1986-07-04,,,,,
